Iteration	Posterior	Likelihood	Prior	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	rate_log_sd	tree_length	two_beta
0	-435.4423	-592.6485	157.2063	0.459322	0.168794	0.30015	0.071735	1.054405	1.562767	1.92054	0.3020068
6	-449.8011	-606.8625	157.0614	0.471307	0.289241	0.0711008	0.168351	1.054405	1.620282	1.532546	0.9598819
12	-433.6455	-590.865	157.2195	0.197248	0.326876	0.36881	0.107066	1.662579	1.954911	1.102016	0.4686519
18	-436.3761	-586.6117	150.2356	0.588253	0.0416336	0.261509	0.108604	14.4193	1.672394	1.22685	3.698872
24	-430.3184	-587.7464	157.428	0.343349	0.0933833	0.505725	0.0575434	1.194089	1.955642	1.080168	0.6891545
30	-437.1063	-592.3213	155.215	0.299017	0.267975	0.374408	0.0586006	5.104522	2.468417	0.5850529	0.3524818
36	-422.1164	-578.2247	156.1083	0.135361	0.516573	0.30623	0.0418365	3.743268	2.175817	0.7510268	0.2507238
42	-425.282	-581.8907	156.6087	0.453808	0.219473	0.287449	0.0392707	2.972276	2.06974	0.7455488	0.3524364
48	-433.433	-584.9316	151.4987	0.403107	0.217641	0.308464	0.0707881	22.60719	1.959637	0.8703864	0.3576413
54	-422.9457	-574.4347	151.489	0.429062	0.343204	0.165963	0.0617707	21.25189	2.297421	0.7450741	0.3018468
60	-417.0348	-574.4936	157.4588	0.454982	0.18795	0.260217	0.0968516	1.825871	2.110983	0.5925896	0.3018468
66	-423.1091	-581.5545	158.4454	0.312368	0.367255	0.253883	0.0664936	0.6164517	2.228214	0.5925896	0.3515415
72	-429.1024	-585.3445	156.2421	0.457706	0.203263	0.233132	0.105899	3.695587	2.116293	0.5939414	0.3358067
78	-429.8421	-586.2925	156.4504	0.230269	0.205366	0.380395	0.183969	2.786349	2.295492	0.5939414	0.4926923
84	-432.6882	-589.0898	156.4016	0.495464	0.106734	0.331128	0.0666729	3.056601	2.19095	0.6163699	0.4733673
90	-424.4741	-581.9546	157.4805	0.376852	0.142018	0.310848	0.170282	1.490013	1.577004	1.355948	0.4279133
96	-431.4716	-588.4933	157.0218	0.453093	0.287786	0.249804	0.00931713	1.490013	2.018455	1.355948	0.4468317
102	-420.4938	-577.8263	157.3325	0.443115	0.254819	0.294162	0.00790462	1.490013	1.609948	1.512037	0.3065054
108	-428.0566	-586.3727	158.3161	0.358675	0.44252	0.185247	0.0135578	0.5149867	1.366524	1.654963	0.3491123
114	-437.4761	-595.9672	158.4912	0.358675	0.44252	0.185247	0.0135578	0.5149867	2.117819	0.8706089	0.3491123
120	-433.5307	-592.3631	158.8324	0.205276	0.597374	0.184057	0.0132933	0.3731045	1.762999	1.058528	0.2344441
126	-433.6583	-588.9527	155.2944	0.215083	0.625914	0.145075	0.0139284	5.920984	1.65997	1.058528	0.4079264
132	-435.1063	-593.1203	158.0139	0.150792	0.727606	0.100078	0.021524	0.1785464	1.669012	1.286565	0.9770298
138	-442.3145	-595.6947	153.3802	0.459786	0.436368	0.0287497	0.0750971	4.04742	1.78458	0.8499076	4.23913
144	-430.9474	-585.7836	154.8362	0.506222	0.430913	0.0246618	0.0382031	3.141261	2.200628	0.4916795	2.15881
150	-435.252	-588.7896	153.5376	0.475012	0.159149	0.316322	0.0495168	3.141261	2.475883	0.461322	3.846142
156	-431.9392	-586.1713	154.2321	0.524034	0.181246	0.278208	0.0165119	5.004549	2.214404	0.763855	1.588172
162	-439.9627	-596.2223	156.2595	0.289162	0.320083	0.389317	0.00143777	3.476776	2.009947	0.763855	0.4770683
168	-435.9708	-592.9666	156.9958	0.353679	0.391499	0.253282	0.00153921	1.262659	2.010571	0.9982826	1.076776
174	-418.506	-572.0588	153.5529	0.345657	0.317774	0.334435	0.00213351	12.11881	1.951678	0.6810535	0.3242624
180	-423.444	-579.0781	155.6341	0.277962	0.385246	0.323867	0.0129249	4.303164	2.152599	0.6459148	0.6031171
186	-421.9432	-577.9288	155.9856	0.471622	0.286062	0.233016	0.00929919	4.30772	2.077601	0.5874844	0.3190009
192	-422.1599	-578.2972	156.1373	0.522575	0.169922	0.288675	0.0188282	3.020701	2.021599	0.6523567	0.8959497
198	-431.3821	-588.6605	157.2784	0.493195	0.228913	0.266066	0.0118248	1.678143	1.948908	1.094069	0.40628
204	-434.5801	-591.1591	156.579	0.501771	0.210728	0.264276	0.0232244	2.717894	2.109189	0.8947126	0.3937309
210	-441.6098	-599.4307	157.8209	0.447021	0.249381	0.274314	0.0292847	1.605219	1.896056	0.6051807	0.3501513
216	-440.6188	-598.4903	157.8715	0.547232	0.210688	0.223297	0.0187837	1.48985	1.798816	0.8602384	0.3287604
222	-438.9787	-597.7199	158.7412	0.560393	0.191704	0.228667	0.0192355	0.3404956	2.123323	0.7159381	0.3645736
228	-435.4431	-592.2178	156.7748	0.461275	0.134465	0.372892	0.0313678	2.674471	1.863559	0.8616928	0.5077011
234	-442.0146	-597.9	155.8853	0.473805	0.144905	0.34907	0.0322199	2.674471	2.395832	0.5860249	1.011572
240	-444.5878	-602.0603	157.4725	0.139839	0.549754	0.305725	0.00468181	1.088072	2.162037	0.6163887	0.8967191
246	-434.4332	-589.7044	155.2712	0.526488	0.279614	0.155497	0.0384011	4.824535	1.993152	1.149318	0.4566569
252	-438.247	-594.2735	156.0266	0.456645	0.150395	0.372094	0.0208658	3.146812	1.950801	1.149318	0.5909228
258	-435.561	-589.6167	154.0557	0.540043	0.198195	0.19684	0.0649214	7.536641	1.977054	1.365761	0.3945576
264	-430.3782	-586.5093	156.1311	0.537069	0.0699197	0.299686	0.0933257	2.181488	1.693378	1.900541	0.3504089
270	-433.7343	-590.2775	156.5433	0.488388	0.190151	0.239167	0.0822945	1.501448	1.81733	1.900541	0.3474253
276	-432.6921	-590.1313	157.4392	0.346403	0.242922	0.305541	0.105133	1.571895	1.96389	1.054867	0.3474253
282	-437.2963	-591.9219	154.6256	0.238307	0.265731	0.246364	0.249598	5.760315	2.037839	1.029732	0.7840569
288	-437.8822	-593.4677	155.5855	0.162503	0.572771	0.167997	0.0967293	2.05244	2.026044	1.133846	1.750666
294	-447.8348	-599.096	151.2612	0.42831	0.039651	0.499439	0.0326007	3.082789	1.661971	1.265154	11.19959
300	-432.5455	-588.9056	156.3602	0.385021	0.136712	0.448961	0.0293058	2.941217	1.934191	1.073487	0.4814997
306	-438.1104	-593.6148	155.5044	0.329204	0.265134	0.379999	0.0256631	3.621818	2.148285	0.9147805	0.8771736
312	-441.5723	-597.8377	156.2654	0.348647	0.209235	0.296425	0.145693	3.664223	2.117732	0.620804	0.3031495
318	-426.2175	-582.7106	156.4931	0.542729	0.216725	0.213539	0.0270073	2.789946	2.096413	0.9700595	0.372943
324	-443.7178	-594.9298	151.2121	0.251185	0.326909	0.0946726	0.327234	24.28378	1.572536	1.318323	0.2302015
330	-439.1656	-596.2646	157.099	0.353959	0.235241	0.185541	0.225258	0.574241	2.186489	0.7981016	1.745646
336	-441.453	-596.482	155.029	0.291423	0.0679887	0.424621	0.215967	3.781003	2.081715	0.7409338	1.506071
342	-450.0022	-603.2697	153.2675	0.528001	0.0398579	0.228587	0.203554	10.7533	1.991828	1.271967	0.3534093
348	-440.5702	-593.191	152.6209	0.231594	0.459081	0.124185	0.18514	15.59968	1.743636	1.157095	0.2954561
354	-444.0702	-599.7814	155.7112	0.523269	0.0666037	0.260992	0.149136	1.374493	1.936413	1.189753	2.359498
360	-434.214	-590.1189	155.9049	0.261826	0.239045	0.429796	0.0693322	2.107375	1.775248	1.539321	1.059778
366	-429.8723	-584.4979	154.6256	0.494832	0.0856445	0.304549	0.114975	6.61645	1.772619	1.15296	0.6047383
372	-438.1826	-595.7123	157.5297	0.431074	0.0964539	0.342987	0.129486	1.223247	1.808778	0.9510909	0.8302257
378	-440.9795	-599.6446	158.6651	0.452645	0.403791	0.113293	0.0302709	0.2904179	1.775682	0.903	0.6791301
384	-444.1426	-599.973	155.8303	0.129633	0.626268	0.205117	0.0389819	2.290888	2.274913	0.5598904	1.483333
390	-443.6835	-600.1717	156.4882	0.198647	0.384824	0.338059	0.0784697	2.290888	2.308392	0.5414653	0.7693342
396	-436.6668	-593.1572	156.4904	0.252481	0.48917	0.221863	0.0364856	2.038541	2.220255	1.071467	0.6655638
402	-433.1157	-589.5611	156.4454	0.341597	0.0818154	0.53048	0.0461075	1.495047	2.220255	0.8115917	1.397363
